run,container,ms
0,vector,7.95638
0,list,34.26242
1,vector,8.12087
1,list,34.24871
2,vector,7.98104
2,list,37.03342
3,vector,8.11200
3,list,38.41979
4,vector,8.02358
4,list,37.98237
5,vector,8.07308
5,list,39.51975
6,vector,8.10250
6,list,38.14563
7,vector,8.02958
7,list,36.40242
8,vector,7.94371
8,list,35.71454
9,vector,7.92379
9,list,34.25979
10,vector,7.96579
10,list,38.60096
11,vector,8.08700
11,list,41.39925
12,vector,8.11629
12,list,35.12954
13,vector,8.24071
13,list,35.99983
14,vector,8.05383
14,list,36.30058
15,vector,8.04067
15,list,37.52571
16,vector,8.05575
16,list,38.52813
17,vector,7.98221
17,list,36.89258
18,vector,7.99838
18,list,34.92604
19,vector,8.07013
19,list,38.75337
20,vector,8.12458
20,list,35.92458
21,vector,8.02538
21,list,37.41583
22,vector,7.93975
22,list,34.61462
23,vector,7.97692
23,list,37.09233
24,vector,7.93267
24,list,38.28429
25,vector,7.84962
25,list,37.40404
26,vector,8.12633
26,list,35.68637
27,vector,7.80100
27,list,37.27971
28,vector,7.99996
28,list,36.94371
29,vector,7.89800
29,list,35.73842
30,vector,8.02396
30,list,33.90283
31,vector,7.92054
31,list,34.22046
32,vector,8.00492
32,list,34.38538
33,vector,8.07550
33,list,34.74587
34,vector,8.20129
34,list,36.37192
35,vector,8.02712
35,list,37.83454
36,vector,7.93458
36,list,40.25021
37,vector,8.01671
37,list,32.90346
38,vector,8.01150
38,list,33.41833
39,vector,8.04392
39,list,38.06304
40,vector,8.04204
40,list,34.88050
41,vector,8.09437
41,list,36.33438
42,vector,8.01983
42,list,34.30679
43,vector,8.06888
43,list,36.42242
44,vector,7.90721
44,list,34.88942
45,vector,8.03958
45,list,34.86975
46,vector,8.09292
46,list,38.44658
47,vector,8.05942
47,list,38.03067
48,vector,7.98854
48,list,33.94646
49,vector,8.00150
49,list,34.38871
50,vector,7.90042
50,list,35.02650
51,vector,7.94763
51,list,37.78388
52,vector,8.00788
52,list,34.80708
53,vector,7.90025
53,list,33.38521
54,vector,8.25287
54,list,35.83283
55,vector,8.02721
55,list,34.57017
56,vector,7.94987
56,list,38.20975
57,vector,8.05679
57,list,36.72192
58,vector,8.07917
58,list,35.88625
59,vector,7.95362
59,list,32.86683
60,vector,8.17283
60,list,34.39612
61,vector,8.01633
61,list,40.80850
62,vector,8.05108
62,list,39.95508
63,vector,8.04283
63,list,33.43979
64,vector,8.13050
64,list,40.37562
65,vector,8.03029
65,list,35.82617
66,vector,7.96667
66,list,41.73208
67,vector,8.19238
67,list,38.02858
68,vector,7.93908
68,list,34.03529
69,vector,8.09137
69,list,42.09021
70,vector,8.04583
70,list,36.50800
71,vector,7.99092
71,list,34.64500
72,vector,7.99458
72,list,37.00083
73,vector,8.01913
73,list,35.97871
74,vector,7.95504
74,list,36.57425
75,vector,8.04046
75,list,38.00054
76,vector,7.96067
76,list,41.69346
77,vector,8.09633
77,list,38.77663
78,vector,8.16362
78,list,40.65979
79,vector,7.97717
79,list,43.88963
80,vector,7.94933
80,list,37.49579
81,vector,8.05162
81,list,36.13575
82,vector,7.98092
82,list,35.11637
83,vector,7.89346
83,list,36.29208
84,vector,8.10850
84,list,39.69467
85,vector,8.00083
85,list,38.23888
86,vector,7.93000
86,list,33.80562
87,vector,8.03029
87,list,36.57208
88,vector,7.85150
88,list,36.99363
89,vector,8.00533
89,list,38.64813
90,vector,7.92754
90,list,41.94192
91,vector,8.05221
91,list,40.70821
92,vector,8.03658
92,list,38.60737
93,vector,8.08404
93,list,36.42371
94,vector,8.01487
94,list,35.63712
95,vector,7.94337
95,list,34.90438
96,vector,7.96554
96,list,35.34567
97,vector,7.98825
97,list,38.08933
98,vector,7.98967
98,list,37.02437
99,vector,8.00758
99,list,34.80150
100,vector,7.99113
100,list,39.76142
101,vector,7.88150
101,list,36.10187
102,vector,8.06504
102,list,35.14942
103,vector,7.91850
103,list,36.61400
104,vector,8.04346
104,list,39.28896
105,vector,7.95688
105,list,31.24017
